file	concept	surface	appearance	accessibility	engine	fixture	window_size	activity	expected_points	pixel_width	pixel_height	launch_arguments
native-workbench__connections__light__system__postgresql__populated__typical__active.png	native-workbench	connections	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface connections --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__setup__light__system__postgresql__populated__typical__active.png	native-workbench	setup	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface setup --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__populated__typical__active.png	native-workbench	data-grid	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__sql-results__light__system__postgresql__populated__typical__active.png	native-workbench	sql-results	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__change-review__light__system__postgresql__populated__typical__active.png	native-workbench	change-review	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface change-review --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__dark__system__postgresql__populated__typical__active.png	native-workbench	data-grid	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__sql-results__dark__system__postgresql__populated__typical__active.png	native-workbench	sql-results	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface sql-results --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__populated__typical__inactive.png	native-workbench	data-grid	light	system	postgresql	populated	typical	inactive	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --inactive
query-studio__connections__light__system__postgresql__populated__typical__active.png	query-studio	connections	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept query-studio --surface connections --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
query-studio__setup__light__system__postgresql__populated__typical__active.png	query-studio	setup	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept query-studio --surface setup --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
query-studio__data-grid__light__system__postgresql__populated__typical__active.png	query-studio	data-grid	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept query-studio --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
query-studio__sql-results__light__system__postgresql__populated__typical__active.png	query-studio	sql-results	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept query-studio --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
query-studio__change-review__light__system__postgresql__populated__typical__active.png	query-studio	change-review	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept query-studio --surface change-review --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
query-studio__data-grid__dark__system__postgresql__populated__typical__active.png	query-studio	data-grid	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept query-studio --surface data-grid --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
query-studio__sql-results__dark__system__postgresql__populated__typical__active.png	query-studio	sql-results	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept query-studio --surface sql-results --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
query-studio__data-grid__light__system__postgresql__populated__typical__inactive.png	query-studio	data-grid	light	system	postgresql	populated	typical	inactive	1440x900	2880	1800	--concept query-studio --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --inactive
column-observatory__connections__light__system__postgresql__populated__typical__active.png	column-observatory	connections	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept column-observatory --surface connections --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
column-observatory__setup__light__system__postgresql__populated__typical__active.png	column-observatory	setup	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept column-observatory --surface setup --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
column-observatory__data-grid__light__system__postgresql__populated__typical__active.png	column-observatory	data-grid	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept column-observatory --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
column-observatory__sql-results__light__system__postgresql__populated__typical__active.png	column-observatory	sql-results	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept column-observatory --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
column-observatory__change-review__light__system__postgresql__populated__typical__active.png	column-observatory	change-review	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept column-observatory --surface change-review --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
column-observatory__data-grid__dark__system__postgresql__populated__typical__active.png	column-observatory	data-grid	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept column-observatory --surface data-grid --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
column-observatory__sql-results__dark__system__postgresql__populated__typical__active.png	column-observatory	sql-results	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept column-observatory --surface sql-results --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
column-observatory__data-grid__light__system__postgresql__populated__typical__inactive.png	column-observatory	data-grid	light	system	postgresql	populated	typical	inactive	1440x900	2880	1800	--concept column-observatory --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --inactive
grid-canvas__connections__light__system__postgresql__populated__typical__active.png	grid-canvas	connections	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept grid-canvas --surface connections --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
grid-canvas__setup__light__system__postgresql__populated__typical__active.png	grid-canvas	setup	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept grid-canvas --surface setup --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
grid-canvas__data-grid__light__system__postgresql__populated__typical__active.png	grid-canvas	data-grid	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept grid-canvas --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
grid-canvas__sql-results__light__system__postgresql__populated__typical__active.png	grid-canvas	sql-results	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept grid-canvas --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
grid-canvas__change-review__light__system__postgresql__populated__typical__active.png	grid-canvas	change-review	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept grid-canvas --surface change-review --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
grid-canvas__data-grid__dark__system__postgresql__populated__typical__active.png	grid-canvas	data-grid	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept grid-canvas --surface data-grid --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
grid-canvas__sql-results__dark__system__postgresql__populated__typical__active.png	grid-canvas	sql-results	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept grid-canvas --surface sql-results --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
grid-canvas__data-grid__light__system__postgresql__populated__typical__inactive.png	grid-canvas	data-grid	light	system	postgresql	populated	typical	inactive	1440x900	2880	1800	--concept grid-canvas --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --inactive
change-desk__connections__light__system__postgresql__populated__typical__active.png	change-desk	connections	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept change-desk --surface connections --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
change-desk__setup__light__system__postgresql__populated__typical__active.png	change-desk	setup	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept change-desk --surface setup --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
change-desk__data-grid__light__system__postgresql__populated__typical__active.png	change-desk	data-grid	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept change-desk --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
change-desk__sql-results__light__system__postgresql__populated__typical__active.png	change-desk	sql-results	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept change-desk --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
change-desk__change-review__light__system__postgresql__populated__typical__active.png	change-desk	change-review	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept change-desk --surface change-review --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
change-desk__data-grid__dark__system__postgresql__populated__typical__active.png	change-desk	data-grid	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept change-desk --surface data-grid --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
change-desk__sql-results__dark__system__postgresql__populated__typical__active.png	change-desk	sql-results	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept change-desk --surface sql-results --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
change-desk__data-grid__light__system__postgresql__populated__typical__inactive.png	change-desk	data-grid	light	system	postgresql	populated	typical	inactive	1440x900	2880	1800	--concept change-desk --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --inactive
native-workbench__data-grid__light__reduce-transparency__postgresql__populated__typical__active.png	native-workbench	data-grid	light	reduce-transparency	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility reduce-transparency --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__increase-contrast__postgresql__populated__typical__active.png	native-workbench	data-grid	light	increase-contrast	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility increase-contrast --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__reduce-motion__postgresql__populated__typical__active.png	native-workbench	data-grid	light	reduce-motion	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility reduce-motion --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__populated__minimum__active.png	native-workbench	data-grid	light	system	postgresql	populated	minimum	active	1280x760	2560	1520	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size minimum --capture
native-workbench__data-grid__light__system__postgresql__populated__expanded__active.png	native-workbench	data-grid	light	system	postgresql	populated	expanded	active	1720x1040	3440	2080	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size expanded --capture
native-workbench__data-grid__light__system__postgresql__empty__typical__active.png	native-workbench	data-grid	light	system	postgresql	empty	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture empty --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__loading__typical__active.png	native-workbench	data-grid	light	system	postgresql	loading	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture loading --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__connection-error__typical__active.png	native-workbench	data-grid	light	system	postgresql	connection-error	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture connection-error --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__large-result__typical__active.png	native-workbench	data-grid	light	system	postgresql	large-result	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture large-result --window-size typical --capture
